"","R-18_Baseline","R-5_Baseline","R-12_Baseline","R-20_Baseline","R-2_Baseline","R-14_Baseline","R-6_Baseline","R-8_Baseline","R-17_Baseline","R-24_Baseline","R-9_Baseline","R-15_Baseline","R-10_Baseline","R-4_Baseline"
"WBSCR27",-0.11000311014793,-0.930034464181978,0.666729279867671,0.000298692070750436,-1.51059048858634,-1.57026142026097,1.91890903819595,0.467193491928703,-0.50092596866862,0.976255830338317,-0.582167081097837,1.11661388266903,0.374601243548749,-0.316618925675504
"MIR378E",-0.0546820084719822,-0.613908668683889,0.00986632922521582,-0.149455143363321,1.81844551495798,2.4772948454125,-0.963538618964065,0.333696527670607,-0.892423532296268,-0.251628258061782,0.108450146370383,-0.837387396851038,-0.660644397866039,-0.324085339078319
"TCF21",-0.421840974525878,-0.719034603795838,0.754502098555993,-0.672581272479792,-0.395740849271953,-0.408570216390874,-0.809191242416729,-0.716117654485109,1.01110427980002,1.41130493013382,1.44838957333921,-1.1125421895113,-0.958398677792865,1.58871679884129
"AKR1E2",0.107889581612789,1.21797431221508,-1.06429333149841,-0.771340712665918,1.1420599653136,1.54639327588972,-0.801071874283521,1.65441123193617,-0.516981340785013,-0.155849751477013,-0.578681025849255,-1.10812965408865,-0.894023657178137,0.221642980858548
"ALCAM",-0.574943911771483,-0.912032653967041,-0.0396906488710912,0.934326372304456,-0.685634855784213,-1.65306824857239,1.60087878609545,-0.789760245312798,-0.633920154640322,0.55203472322915,-0.29831209826373,1.25015012744553,1.4717899049723,-0.221817096863806
"DHRS9",0.619600042766345,-0.688288379124825,-0.108621040217174,-0.947982265665415,1.07184093764698,1.45444758928108,-1.11382224547084,0.727608152502512,-0.0106452479975614,0.842995708307651,1.37175717858697,-1.21065519532774,-1.25205748884393,-0.756177746444053
"CDH17",-0.264241394608582,-0.674771431806056,-0.100319866896604,-0.24812465305577,2.2887030491844,2.21977817905468,-0.709687000586956,-0.807458212332316,0.364787038396023,-0.205134078692145,-0.333080024245218,-0.456534862264383,-0.463323036964293,-0.610593705182771
"PHYHIP",-0.332524562810777,-0.332435063330985,-0.285348505235141,-0.494530265162862,3.22775476514449,-0.537164816968435,-0.802248745428986,-0.401339832860537,-0.188166602668623,0.110397464325275,0.655047197551896,-0.605664468291447,-0.22791019189081,0.214133627626939
"VAT1L",-0.685673433430797,-0.207531071255292,1.82838532734729,-0.732917518176587,1.14961841623627,0.16033082772362,-1.88706925575613,0.268159469599693,0.71941731126845,0.36562631547097,0.665820283859233,-1.25129667144658,-0.86309689002854,0.470226888588405
"S1PR4",-0.579022932398813,-0.125901978521188,-0.373443493727615,-0.745748260314458,1.55903058865622,2.41959438164447,-0.98121096089227,0.773109889716373,-0.213491665083301,0.031476610240742,0.0950107396407282,-1.28080784197068,-0.638827263322605,0.0602321863324017
"CLEC4C",0.576393782166918,-0.765687953671037,-0.279730407446886,-0.245458212754464,0.585616631632387,2.66606103963846,-0.66254976245646,-0.41133660432944,1.05752847899965,0.3726152043856,-0.5144081656911,-1.22033934075934,-0.896877393755798,-0.261827295958489
"KLRK1",1.6102311623266,-0.221987535268386,-0.606140798465896,0.145810885654959,1.06763751068913,1.86358260110446,-0.742943012381837,-1.0815352392226,-0.303416121041068,-0.425067001665165,1.12933497897001,-1.07595835867279,-0.728369160509949,-0.631179911517474
"SH3RF2",-2.04102313808857,-0.935828961223775,-0.135096064017075,-0.235346484539235,0.0194716633727561,-1.02966819402462,1.60389270952308,-0.54990725630662,1.0410886548227,0.271612284822901,0.0819909293385774,1.53099252827117,0.618835255444891,-0.241013927396194
"ZBED2",-0.105019580368517,-0.22590911693813,-0.483067536200527,-0.272364168508616,2.33788854682723,2.00795450408013,-0.603549213867929,0.769367189782987,-0.526408961752002,-0.392729251301689,-0.710343754276998,-0.561111876169983,-0.331372678779943,-0.903334102526009
"SH2D1A",-0.322703464813939,-0.766849691677695,-0.563013764728267,-0.760468554854388,1.47149688409518,2.62012595730276,-0.879827641601163,0.317045089240986,-0.00159257742058609,0.216628954283141,0.415363600364562,-0.95616748426646,-0.570712180753236,-0.219325125170897
"SGSM1",-1.55620798725578,-1.25472585752316,-0.238820660420566,-0.21230770078838,-1.08125859830141,0.647978563390706,1.50579859155177,0.357451184831166,-0.849943169781675,0.433284496160596,-0.557885811087701,0.903429329107024,1.68266917386803,0.22053844624939
"INSL3",-0.0243823003162619,0.149927409841458,-0.603381810289081,0.239815121524698,1.89251841614721,2.27363357371802,-0.494514866812926,0.211624365647667,-0.454724743605577,0.273590280633175,-0.713250455312824,-1.25808098350577,-0.864017014730947,-0.628756992938856
"TNFRSF9",-0.42289204392423,0.264660756566085,-0.910806674912014,1.07888935316602,1.76108955033216,2.15854017509416,-0.772013239040699,0.222831425530386,-0.649726873718697,-0.397065899684576,-0.325437040482952,-1.12669180375122,-0.379076135323593,-0.50230154985083
"PRKCB",-0.59372130650109,-0.510520976285498,-0.393696714238485,-0.364363363719793,1.33836851652312,2.33796154775839,-0.998830724555399,0.405397794722662,0.470145190763474,0.212081565876921,0.364630865676714,-1.40032034801436,-1.12057915184975,0.253447103843089
"LYZ",-0.518610166003305,1.01681213091255,-0.416979721079018,-0.765612398080346,1.85875016551554,1.65408407155468,-0.481597806027419,0.661007916897658,0.112747237140322,-0.196820292837902,0.113020535453805,-1.41312240371464,-1.40259424795256,-0.221085021779364
